Request,Class,Best_Score,Best_Services,Time_s,OF
I need a trip from South Region to Airport with the lowest monetary cost.,TCO,9,"['s2', 's7', 's10']",141.985,\( \min \sum_{t=1}^{T} c_t \)
Provide the shortest-time trip from South Region to Airport.,TTO,13,"['s0', 's8', 's11']",175.789,\( \min \sum_{t=1}^{T} time_t \)
I need a trip from South Region to Airport with the minimum  time.,TTO,13,"['s0', 's8', 's11']",87.803,\( \min \sum_{t=1}^{T} time_t \)
I need a trip from South Region to Airport with the lowest monetary cost and shortest travel time.,MOO,61,"['s0', 's8', 's11']",165.196,"\[
\min \sum_{t=1}^{T} (c_t + \text{time}_t)
\]"
I need a trip from South Region to Airport with free cost,TCO,,,100.471,\( \min \sum_{t=1}^{T} c_t \)
Determine the minimum price route from South Region to Airport.,TCO,9,"['s2', 's7', 's10']",66.09,\(\min \sum_{t=1}^{T} c_t\)
What is the quickest route from South Region to Airport?,TTO,13,"['s0', 's8', 's11']",46.223,\( \min \sum_{t=1}^{T} time_t \)
Select the minimum duration trip from South Region to Airport.,TTO,13,"['s0', 's8', 's11']",109.457,\( \min \sum_{t=1}^{T} time_t \)
Find the best trip from South Region to Airport minimizing both cost and time.,MOO,61,"['s0', 's8', 's11']",82.714,\( \min \sum_{t=1}^{T} (c_t + time_t) \)
What is the most efficient route from South Region to Airport in terms of cost and duration?,MOO,61,"['s0', 's8', 's11']",109.469,\( \min \sum_{t=1}^{T} (c_t + time_t) \)
Maximize service reputation for travel from South Region to Airport.,TQoSO,13.5,"['s1', 's7', 's10']",76.501,\( \max \sum_{t=1}^{T} rep_t \)
I need the cheapest trip from South Region to Airport with cost less than 8 dollars.,TCO,,,102.02,\( \min \sum_{t=1}^{T} c_t \)
"Minimize the travel time between South Region and Airport,  with travel time less than 12 minutes.",TTO,,,126.984,\( \min \sum_{t=1}^{T} time_t \)
I need the fastest trip from South region to Airport. with constraints like travel time greater than 15 minutes and cost between 20 and 30 dollars.,TTO,,,399.428,\( \min \sum_{t=1}^{T} time_t \)
I need the fastest trip from South region to Airport. with constraints like travel time greater than 12 minutes and service reputation greater than 3,TTO,40,"['s0', 's8', 's10']",240.667,\( \min \sum_{t=1}^{T} time_t \)
I am looking for a reliable services travel from South Region to Airport with each service reputation >=4,TQoSO,13.5,"['s1', 's7', 's10']",149.485,\( \max \sum_{t=1}^{T} rep_t \)
"Minimize the travel time between South Region and Airport,  with travel time greater than 14 minutes.",TTO,,,208.665,\( \min \sum_{t=1}^{T} time_t \)
I am looking for a reliable services travel from South Region to Airport with each service reputation less than 4.3,TQoSO,12.2,"['s4', 's8', 's10']",222.676,\( \max \sum_{t=1}^{T} rep_t \)
I am looking for a trip with minmum cost  travel from South Region to Airport while  each service reputation should be <=4.2,TCO,17,"['s2', 's8', 's10']",153.754,\( \min \sum_{t=1}^{T} c_t \)
I am looking for a reliable services travel from South Region to Airport with the minimum travel cost and travel time and each service reputation greater than 3.3.,MOO,62,"['s0', 's8', 's10']",217.194,\( \min \sum_{t=1}^{T} (c_t + time_t) \)
