"Request","Class","Best_Score","Best_Services","Time_s","OF"
"I need a trip from South Region to Airport with the lowest monetary cost.","TCO","9.0","['s2', 's7', 's10']","8.763","Could you please specify which optimization class you’d like the objective function to target (e.g., TCO, TTO, TQoSO, TSO, or MOO)?"
"Provide the shortest-time trip from South Region to Airport.","TTO","13.0","['s0', 's8', 's11']","4.203","\( \min \sum_{t=1}^{T} time_t \)"
"I need a trip from South Region to Airport with the minimum  time.","TTO","13.0","['s0', 's8', 's11']","3.691","\( \min \sum_{t=1}^{T} \mathrm{time}_t \)"
"I need a trip from South Region to Airport with the lowest monetary cost and shortest travel time.","MOO","61.0","['s0', 's8', 's11']","7.063","\( \displaystyle \min \sum_{t=1}^{T} \bigl( c_t + \text{time}_t \bigr) \)"
"I need a trip from South Region to Airport with free cost","TCO","","","7.373","\( \min \sum_{t=1}^{T} c_t \)"
"Determine the minimum price route from South Region to Airport.","TCO","9.0","['s2', 's7', 's10']","5.63","\( \min \sum_{t=1}^{T} c_t \)"
"What is the quickest route from South Region to Airport?","TTO","13.0","['s0', 's8', 's11']","5.327","\( \displaystyle \min \sum_{t=1}^{T} \text{time}_t \)"
"Select the minimum duration trip from South Region to Airport.","TTO","13.0","['s0', 's8', 's11']","4.709","\( \min \sum_{t=1}^{T} time_t \)"
"Find the best trip from South Region to Airport minimizing both cost and time.","MOO","61.0","['s0', 's8', 's11']","4.506","\( \min \sum_{t=1}^{T} \left( c_t + \text{time}_t \right) \)"
"What is the most efficient route from South Region to Airport in terms of cost and duration?","MOO","61.0","['s0', 's8', 's11']","3.787","\( \min \sum_{t=1}^{T} (c_t + time_t) \)"
"Maximize service reputation for travel from South Region to Airport.","TQoSO","13.5","['s1', 's7', 's10']","4.092","\( \max \sum_{t=1}^{T} rep_t \)"
"I need the cheapest trip from South Region to Airport with cost less than 8 dollars.","TCO","","","12.189","\( \min \sum_{t=1}^{T} (c_t + \text{time}_t) \)"
"Minimize the travel time between South Region and Airport,  with travel time less than 12 minutes.","TTO","","","6.555","\( \min \sum_{t=1}^{T} time_t \)"
"I need the fastest trip from South region to Airport. with constraints like travel time greater than 15 minutes and cost between 20 and 30 dollars.","TTO","40.0","['s0', 's8', 's10']","9.934","\( \min \sum_{t=1}^{T} time_t \)"
"I need the fastest trip from South region to Airport. with constraints like travel time greater than 12 minutes and service reputation greater than 3","TTO","40.0","['s0', 's8', 's10']","7.073","\( \min \sum_{t=1}^{T} time_t \)"
"I am looking for a reliable services travel from South Region to Airport with each service reputation >=4","TQoSO","13.5","['s1', 's7', 's10']","5.622","\( \max \sum_{t=1}^{T} rep_t \)"
"Minimize the travel time between South Region and Airport,  with travel time greater than 14 minutes.","TTO","40.0","['s0', 's8', 's10']","5.94","\( \min \sum_{t=1}^{T} \text{time}_t \)"
"I am looking for a reliable services travel from South Region to Airport with each service reputation less than 4.3","TQoSO","12.2","['s4', 's8', 's10']","5.939","\( \max \sum_{t=1}^{T} rep_t \)"
"I am looking for a trip with minmum cost  travel from South Region to Airport while  each service reputation should be <=4.2","TCO","17.0","['s2', 's8', 's10']","7.372","\( \displaystyle \min \sum_{t=1}^{T} c_t \)"
"I am looking for a reliable services travel from South Region to Airport with the minimum travel cost and travel time and each service reputation greater than 3.3.","MOO","62.0","['s0', 's8', 's10']","5.612","\( \min \sum_{t=1}^{T} (c_t + \text{time}_t)\)"
