"Request","Class","Best_Score","Best_Services","Time_s","OF"
"I need a trip from South Region to Airport with the lowest monetary cost.","TCO","9.0","['s2', 's7', 's10']","33.377","\( \min \sum_{t=1}^{T} c_t \)"
"Provide the shortest-time trip from South Region to Airport.","TTO","13.0","['s0', 's8', 's11']","33.451","\(\min \sum_{t=1}^{T} time_t\)"
"I need a trip from South Region to Airport with the minimum  time.","TTO","13.0","['s0', 's8', 's11']","35.529","\( \min \sum_{t=1}^{T} time_t \)"
"I need a trip from South Region to Airport with the lowest monetary cost and shortest travel time.","MOO","61.0","['s0', 's8', 's11']","50.852","\( \min \sum_{t=1}^{T} (c_t + time_t) \)"
"I need a trip from South Region to Airport with free cost","TCO","","","56.316","\( \min \sum_{t=1}^{T} c_t \)"
"Determine the minimum price route from South Region to Airport.","TCO","9.0","['s2', 's7', 's10']","24.437","\( \min \sum_{t=1}^{T} c_t \)"
"What is the quickest route from South Region to Airport?","TTO","13.0","['s0', 's8', 's11']","33.845","\( \min \sum_{t=1}^{T} time_t \)"
"Select the minimum duration trip from South Region to Airport.","TTO","13.0","['s0', 's8', 's11']","34.083","\(\min \sum_{t=1}^{T} time_t\)"
"Find the best trip from South Region to Airport minimizing both cost and time.","MOO","61.0","['s0', 's8', 's11']","42.298","\( \min \sum_{t=1}^{T} (c_t + time_t) \)"
"What is the most efficient route from South Region to Airport in terms of cost and duration?","MOO","61.0","['s0', 's8', 's11']","69.062","\( \min \sum_{t=1}^{T} (c_t + time_t) \)"
"Maximize service reputation for travel from South Region to Airport.","TQoSO","13.5","['s1', 's7', 's10']","24.804","\( \max \sum_{t=1}^{T} rep_t \)"
"I need the cheapest trip from South Region to Airport with cost less than 8 dollars.","TCO","","","73.001","\( \min \sum_{t=1}^{T} c_t \)"
"Minimize the travel time between South Region and Airport,  with travel time less than 12 minutes.","TTO","","","58.829","\( \min \sum_{t=1}^{T} time_t \)"
"I need the fastest trip from South region to Airport. with constraints like travel time greater than 15 minutes and cost between 20 and 30 dollars.","TTO","","","157.864","\( \min \sum_{t=1}^{T} time_t \)"
"I need the fastest trip from South region to Airport. with constraints like travel time greater than 12 minutes and service reputation greater than 3","TTO","70.0","['s4', 's7', 's10']","157.975","\( \min \sum_{t=1}^{T} time_t \)"
"I am looking for a reliable services travel from South Region to Airport with each service reputation >=4","TQoSO","13.5","['s1', 's7', 's10']","31.779","\( \max \sum_{t=1}^{T} rep_t \)"
"Minimize the travel time between South Region and Airport,  with travel time greater than 14 minutes.","TTO","","","125.348","\( \min \sum_{t=1}^{T} time_t \)"
"I am looking for a reliable services travel from South Region to Airport with each service reputation less than 4.3","TQoSO","12.2","['s4', 's8', 's10']","60.567","\( \max \sum_{t=1}^{T} rep_t \)"
"I am looking for a trip with minmum cost  travel from South Region to Airport while  each service reputation should be <=4.2","TCO","17.0","['s2', 's8', 's10']","58.517","\( \min \sum_{t=1}^{T} c_t \)"
"I am looking for a reliable services travel from South Region to Airport with the minimum travel cost and travel time and each service reputation greater than 3.3.","MOO","62.0","['s0', 's8', 's10']","57.447","\( \min \sum_{t=1}^{T} (c_t + time_t) \)"
