"Request","Class","Best_Score","Best_Services","Time_s","OF"
"I need a trip from South Region to Airport with the lowest monetary cost.","TCO","9.0","['s2', 's7', 's10']","19.967","\( \min \sum_{i=1}^{n} cost_i \)"
"Provide the shortest-time trip from South Region to Airport.","TTO","13.0","['s0', 's8', 's11']","16.873","\( \min \sum_{i=1}^{n} t_{i} \)"
"I need a trip from South Region to Airport with the minimum  time.","TTO","13.0","['s0', 's8', 's11']","12.88","\( \min \sum_{i=1}^{n} T(s_i) \)"
"I need a trip from South Region to Airport with the lowest monetary cost and shortest travel time.","MOO","61.0","['s0', 's8', 's11']","30.508","\( \min \sum_{i=1}^{n} (cost_{i} + time_{i}) \)"
"I need a trip from South Region to Airport with free cost","TCO","","","34.878","\( \min \sum_{i=1}^{n} c_{i} \)"
"Determine the minimum price route from South Region to Airport.","TCO","9.0","['s2', 's7', 's10']","19.246","\( \min \sum_{i=1}^{n} c(s_i) \)"
"What is the quickest route from South Region to Airport?","TTO","13.0","['s0', 's8', 's11']","20.649","\( \min \sum_{i=1}^{n} t_i \)"
"Select the minimum duration trip from South Region to Airport.","TTO","13.0","['s0', 's8', 's11']","14.145","\( \min \sum_{i=1}^{n} t(s_i) \)"
"Find the best trip from South Region to Airport minimizing both cost and time.","MOO","61.0","['s0', 's8', 's11']","30.837","\( \min \sum_{i=1}^{n} (Cost_i + Time_i) \)"
"What is the most efficient route from South Region to Airport in terms of cost and duration?","MOO","61.0","['s0', 's8', 's11']","19.633","\( \min \sum_{i=1}^{n} (Cost(s_i) + Time(s_i)) \)"
"Maximize service reputation for travel from South Region to Airport.","TQoSO","13.5","['s1', 's7', 's10']","18.055","\( \text{maximize} \sum_{e \in P} R(s_e) \)"
"I need the cheapest trip from South Region to Airport with cost less than 8 dollars.","TCO","","","14.67","\( \min \sum_{i=1}^{n} cost(s_{i}) \)"
"Minimize the travel time between South Region and Airport,  with travel time less than 12 minutes.","TTO","","","26.658","\( \min \sum_{i=1}^{n} \sum_{j \in S_i} t_{ij} x_{ij} \)"
"I need the fastest trip from South region to Airport. with constraints like travel time greater than 15 minutes and cost between 20 and 30 dollars.","TTO","40.0","['s0', 's8', 's10']","26.625","\( \min \sum_{i=1}^{n} T_i \)"
"I need the fastest trip from South region to Airport. with constraints like travel time greater than 12 minutes and service reputation greater than 3","TTO","40.0","['s0', 's8', 's10']","25.417","\( \min \sum_{i=1}^{n} t_{i} \)"
"I am looking for a reliable services travel from South Region to Airport with each service reputation >=4","TQoSO","13.5","['s1', 's7', 's10']","24.946","\( \max \sum_{i=1}^{n} R_i \)"
"Minimize the travel time between South Region and Airport,  with travel time greater than 14 minutes.","TTO","23.0","['s0', 's7', 's11']","42.493","\( \min \sum_{i=1}^{n} \sum_{j \in S_i} t_{ij} x_{ij} \)"
"I am looking for a reliable services travel from South Region to Airport with each service reputation less than 4.3","TQoSO","12.2","['s4', 's8', 's10']","24.016","\( \text{maximize} \sum_{i=1}^{n} r_{i} \)"
"I am looking for a trip with minmum cost  travel from South Region to Airport while  each service reputation should be <=4.2","TCO","17.0","['s2', 's8', 's10']","16.565","\( \min \sum_{i=1}^{n} cost(s_i) \)"
"I am looking for a reliable services travel from South Region to Airport with the minimum travel cost and travel time and each service reputation greater than 3.3.","MOO","62.0","['s0', 's8', 's10']","22.749","\( \min \sum_{i=1}^{n} (c_{i} + t_{i}) \)"
