"Request","Class","Best_Score","Best_Services","Time_s","OF"
"I need a trip from South Region to Airport with the lowest monetary cost.","TCO","9.0","['s2', 's7', 's10']","9.916","\( \displaystyle \min_{\text{path}}\sum_{t\in T}\min_{s\in S(t)}c_{t,s}\)"
"Provide the shortest-time trip from South Region to Airport.","TTO","13.0","['s0', 's8', 's11']","5.321","\( \displaystyle \min_{\text{path } P}\;\sum_{e\in P}t_{e}\)"
"I need a trip from South Region to Airport with the minimum  time.","TTO","13.0","['s0', 's8', 's11']","5.527","\( \displaystyle \min \sum_{i=1}^{N} \min_{s\in S_i} t_{i,s} \)"
"I need a trip from South Region to Airport with the lowest monetary cost and shortest travel time.","MOO","61.0","['s0', 's8', 's11']","8.3","\[
\min_{\{P,\;s_t\}} \sum_{t\in P}\bigl(c_{t,s_t}\!+\!\tau_{t,s_t}\bigr)
\]"
"I need a trip from South Region to Airport with free cost","TCO","","","7.066","\[
\min \sum_{t \in \mathcal{T}} c_t
\]"
"Determine the minimum price route from South Region to Airport.","TCO","9.0","['s2', 's7', 's10']","5.524","\(\displaystyle \min \sum_{t=1}^{n} c_{t}\)"
"What is the quickest route from South Region to Airport?","TTO","13.0","['s0', 's8', 's11']","6.349","\( \displaystyle \min \sum_{k=1}^{K} t_k \)"
"Select the minimum duration trip from South Region to Airport.","TTO","13.0","['s0', 's8', 's11']","5.839","\( \displaystyle \min \sum_{t\in\mathcal{T}}\;\sum_{s\in S_{t}}\;\tau_{t,s}\,x_{t,s}\)"
"Find the best trip from South Region to Airport minimizing both cost and time.","MOO","61.0","['s0', 's8', 's11']","5.618","\( \displaystyle \min_{\{s(t)\}}\ \sum_{t\in\mathcal{T}}\bigl( C_{t,s(t)}+T_{t,s(t)}\bigr) \)"
"What is the most efficient route from South Region to Airport in terms of cost and duration?","MOO","61.0","['s0', 's8', 's11']","6.444","\[
\min \;\sum_{t\in P}\bigl(c_t+\tau_t\bigr)
\]"
"Maximize service reputation for travel from South Region to Airport.","TQoSO","13.5","['s1', 's7', 's10']","6.703","\( \displaystyle \max \sum_{t \in \mathcal{T}}\sum_{i \in \mathcal{S}_t} r_{t,i}\, x_{t,i}\)"
"I need the cheapest trip from South Region to Airport with cost less than 8 dollars.","TCO","","","6.966","\[
\min \sum_{t \in T} c_t
\]"
"Minimize the travel time between South Region and Airport,  with travel time less than 12 minutes.","TTO","","","5.329","\(\displaystyle \min \sum_{j=1}^{N} t_{s_j,j}\)"
"I need the fastest trip from South region to Airport. with constraints like travel time greater than 15 minutes and cost between 20 and 30 dollars.","TTO","40.0","['s0', 's8', 's10']","9.077","\[
\min \sum_{t=1}^{T} \tau_{t}
\]"
"I need the fastest trip from South region to Airport. with constraints like travel time greater than 12 minutes and service reputation greater than 3","TTO","40.0","['s0', 's8', 's10']","7.51","\( \displaystyle \min_{\{x_{t,s}\}}\sum_{t\in\mathcal{T}}\;\sum_{s\in\mathcal{S}_t}\;\tau_{t,s}\,x_{t,s}\)"
"I am looking for a reliable services travel from South Region to Airport with each service reputation >=4","TQoSO","13.5","['s1', 's7', 's10']","6.111","\[
\max \; \sum_{j=1}^{T} \;\max_{s \in \mathcal{S}_j}\; R_{j,s}
\]"
"Minimize the travel time between South Region and Airport,  with travel time greater than 14 minutes.","TTO","23.0","['s0', 's7', 's11']","12.387","\[
\min\ \sum_{t\in \mathcal{T}}\sum_{s\in S_t}\tau_{t,s}\,x_{t,s}
\]"
"I am looking for a reliable services travel from South Region to Airport with each service reputation less than 4.3","TQoSO","12.2","['s4', 's8', 's10']","10.649","\[
\max \sum_{t \in \mathcal{T}} R_{t}
\]"
"I am looking for a trip with minmum cost  travel from South Region to Airport while  each service reputation should be <=4.2","TCO","17.0","['s2', 's8', 's10']","6.551","\[
\min \sum_{i=1}^{N} C_i
\]"
"I am looking for a reliable services travel from South Region to Airport with the minimum travel cost and travel time and each service reputation greater than 3.3.","MOO","62.0","['s0', 's8', 's10']","9.114","\[
\min \;\sum_{i=1}^{N}\!\big(c_i+t_i\big)
\]"
