Request,Class,Best_Score,Best_Services
I need a trip from South Region to Airport with the lowest monetary cost.,TCO,9,"['s2', 's7', 's10']"
Provide the shortest-time trip from South Region to Airport.,TTO,13,"['s0', 's8', 's11']"
I need a trip from South Region to Airport with the minimum  time.,TTO,13,"['s0', 's8', 's11']"
I need a trip from South Region to Airport with the lowest monetary cost and shortest travel time.,MOO,61,"['s0', 's8', 's11']"
I need a trip from South Region to Airport with free cost,TCO,,
Determine the minimum price route from South Region to Airport.,TCO,9,"['s2', 's7', 's10']"
What is the quickest route from South Region to Airport?,TTO,13,"['s0', 's8', 's11']"
Select the minimum duration trip from South Region to Airport.,TTO,13,"['s0', 's8', 's11']"
Find the best trip from South Region to Airport minimizing both cost and time.,MOO,61,"['s0', 's8', 's11']"
What is the most efficient route from South Region to Airport in terms of cost and duration?,MOO,61,"['s0', 's8', 's11']"
Maximize service reputation for travel from South Region to Airport.,TQoSO,13.5,"['s1', 's7', 's10']"
I need the cheapest trip from South Region to Airport with cost less than 8 dollars.,TCO,,
"Minimize the travel time between South Region and Airport,  with travel time less than 12 minutes.",TTO,,
I need the fastest trip from South region to Airport. with constraints like travel time greater than 15 minutes and cost between 20 and 30 dollars.,TTO,40,"['s0', 's8', 's10']"
I need the fastest trip from South region to Airport. with constraints like travel time greater than 12 minutes and service reputation greater than 3,TTO,40,"['s0', 's8', 's10']"
I am looking for a reliable services travel from South Region to Airport with each service reputation >=4,TQoSO,13.5,"['s1', 's7', 's10']"
"Minimize the travel time between South Region and Airport,  with travel time greater than 14 minutes.",TTO,23,"['s0', 's7', 's11']"
I am looking for a reliable services travel from South Region to Airport with each service reputation less than 4.3,TQoSO,12.2,"['s4', 's8', 's10']"
I am looking for a trip with minmum cost  travel from South Region to Airport while  each service reputation should be <=4.2,TCO,17,"['s2', 's8', 's10']"
I am looking for a reliable services travel from South Region to Airport with the minimum travel cost and travel time and each service reputation greater than 3.3.,MOO,62,"['s0', 's8', 's10']"
