Request,Class,Best_Score,Best_Services,Time_s,OF
I need a trip from South Region to Airport with the lowest monetary cost.,TCO,9,"['s2', 's7', 's10']",16.339,\( \min \sum_{t=1}^{T} c_t \)
Provide the shortest-time trip from South Region to Airport.,TTO,13,"['s0', 's8', 's11']",26.723,\( \min \sum_{t=1}^{T} time_t \)
I need a trip from South Region to Airport with the minimum  time.,TTO,13,"['s0', 's8', 's11']",13.268,\( \min \sum_{t=1}^{T} time_t \)
I need a trip from South Region to Airport with the lowest monetary cost and shortest travel time.,MOO,61,"['s0', 's8', 's11']",14.64,\( \min \sum_{t=1}^{T} (c_t + time_t) \)
I need a trip from South Region to Airport with free cost,TCO,,,21.946,\( \min \sum_{t=1}^{T} c_t \)
Determine the minimum price route from South Region to Airport.,TCO,9,"['s2', 's7', 's10']",13.203,\( \min \sum_{t=1}^{T} c_t \)
What is the quickest route from South Region to Airport?,TTO,13,"['s0', 's8', 's11']",19.58,\( \min \sum_{t=1}^{T} time_t \)
Select the minimum duration trip from South Region to Airport.,TTO,13,"['s0', 's8', 's11']",13.989,\( \min \sum_{t=1}^{T} time_t \)
Find the best trip from South Region to Airport minimizing both cost and time.,MOO,61,"['s0', 's8', 's11']",17.768,\( \min \sum_{t=1}^{T} (c_t + time_t) \)
What is the most efficient route from South Region to Airport in terms of cost and duration?,MOO,61,"['s0', 's8', 's11']",18.561,\( \min \sum_{t=1}^{T} (c_t + time_t) \)
Maximize service reputation for travel from South Region to Airport.,TQoSO,13.5,"['s1', 's7', 's10']",13.348,\( \max \sum_{t=1}^{T} rep_t \)
I need the cheapest trip from South Region to Airport with cost less than 8 dollars.,TCO,,,14.95,\( \min \sum_{t=1}^{T} c_t \)
"Minimize the travel time between South Region and Airport,  with travel time less than 12 minutes.",TTO,,,41.852,\( \min \sum_{t=1}^{T} time_t \)
I need the fastest trip from South region to Airport. with constraints like travel time greater than 15 minutes and cost between 20 and 30 dollars.,TTO,40,"['s0', 's8', 's10']",60.518,\( \min \sum_{t=1}^{T} time_t \)
I need the fastest trip from South region to Airport. with constraints like travel time greater than 12 minutes and service reputation greater than 3,TTO,70,"['s4', 's7', 's10']",58.804,\( \min \sum_{t=1}^{T} time_t \)
I am looking for a reliable services travel from South Region to Airport with each service reputation >=4,TQoSO,13.5,"['s1', 's7', 's10']",17.562,\( \max \sum_{t=1}^{T} rep_t \)
"Minimize the travel time between South Region and Airport,  with travel time greater than 14 minutes.",TTO,23,"['s0', 's7', 's11']",80.261,\( \min \sum_{t=1}^{T} time_t \)
I am looking for a reliable services travel from South Region to Airport with each service reputation less than 4.3,TQoSO,12.2,"['s4', 's8', 's10']",21.968,\( \max \sum_{t=1}^{T} rep_t \)
I am looking for a trip with minmum cost  travel from South Region to Airport while  each service reputation should be <=4.2,TCO,17,"['s2', 's8', 's10']",15.354,\( \min \sum_{t=1}^{T} c_t \)
I am looking for a reliable services travel from South Region to Airport with the minimum travel cost and travel time and each service reputation greater than 3.3.,MOO,62,"['s0', 's8', 's10']",23.983,\( \min \sum_{t=1}^{T} (c_t + time_t) \)
