"Request","Class","Best_Score","Best_Services","Time_s","OF"
"I need a trip from South Region to Airport with the lowest monetary cost.","TCO","9","['s2', 's7', 's10']","402.956","\( \min \sum_{t \in T} \sum_{s \in S_t} c_{t,s} \cdot x_{t,s} \)"
"Provide the shortest-time trip from South Region to Airport.","TTO","13","['s0', 's8', 's11']","440.265","\( \min \sum_{i=1}^{N} \sum_{j \in S_i} t_{i,j} \cdot x_{i,j} \)"
"I need a trip from South Region to Airport with the minimum  time.","TTO","13","['s0', 's8', 's11']","460.453","\[
\min \sum_{(i,j) \in E} \sum_{s \in S_{ij}} t_{ijs} \cdot x_{ijs}
\]"
"I need a trip from South Region to Airport with the lowest monetary cost and shortest travel time.","MOO","61","['s0', 's8', 's11']","95.498","\[
\min \left( \sum_{i=1}^{n} c_{i}, \ \sum_{i=1}^{n} t_{i} \right)
\]"
"I need a trip from South Region to Airport with free cost","TCO","9","['s2', 's7', 's10']","64.266","\[
\min \sum_{e \in E} \sum_{s \in S_e} c_{e,s} \cdot x_{e,s}
\]"
"Determine the minimum price route from South Region to Airport.","TCO","9","['s2', 's7', 's10']","57.004","\[
\min \sum_{i=1}^{N} \sum_{j \in S_i} c_{ij} x_{ij}
\]"
"What is the quickest route from South Region to Airport?","TTO","13","['s0', 's8', 's11']","52.724","\[
\min \sum_{i=1}^{N} \sum_{j \in S_i} t_{ij} \cdot x_{ij}
\]"
"Select the minimum duration trip from South Region to Airport.","TTO","13.0","['s0', 's8', 's11']","41.513","\[
\min \sum_{i=1}^{N} \sum_{j \in S_i} t_{ij} \cdot x_{ij}
\]"
"Find the best trip from South Region to Airport minimizing both cost and time.","MOO","61.0","['s0', 's8', 's11']","60.078","\[
\min \left( \sum_{k=1}^{m} C_k, \sum_{k=1}^{m} T_k \right)
\]"
"What is the most efficient route from South Region to Airport in terms of cost and duration?","MOO","61.0","['s0', 's8', 's11']","134.177","\( \min \left( \sum_{i \in A} \sum_{j \in S_i} c_{i,j} x_{i,j},\; \sum_{i \in A} \sum_{j \in S_i} t_{i,j} x_{i,j} \right) \)"
"Maximize service reputation for travel from South Region to Airport.","TQoSO","13.5","['s1', 's7', 's10']","78.054","\( \max \sum_{i=1}^{N} \sum_{j \in S_i} r_{ij} \cdot x_{ij} \)"
"I need the cheapest trip from South Region to Airport with cost less than 8 dollars.","TCO","9","['s2', 's7', 's10']","125.158","\[
\min \sum_{e \in E} \sum_{s \in S_e} c_{es} \, y_{es}
\]"
"Minimize the travel time between South Region and Airport,  with travel time less than 12 minutes.","TTO","13","['s0', 's8', 's11']","82.511","\[
\min \sum_{i=1}^{k} t(s_i)
\]"
"I need the fastest trip from South region to Airport. with constraints like travel time greater than 15 minutes and cost between 20 and 30 dollars.","TTO","13","['s0', 's8', 's11']","97.818","\[
\min \sum_{i=1}^{n} \sum_{s \in S_i} t_s \cdot x_{i,s}
\]"
"I need the fastest trip from South region to Airport. with constraints like travel time greater than 12 minutes and service reputation greater than 3","TTO","70","['s4', 's7', 's10']","92.146","\[
\min \sum_{i=1}^{N} \sum_{j \in S_i} t_{ij} \cdot x_{ij}
\]"
"I am looking for a reliable services travel from South Region to Airport with each service reputation >=4","TQoSO","13.5","['s1', 's7', 's10']","72.119","\( \max \sum_{i=1}^{N} \sum_{j \in C_i} r_{ij} x_{ij} \)"
"Minimize the travel time between South Region and Airport,  with travel time greater than 14 minutes.","TTO","13.0","['s0', 's8', 's11']","87.734","\( \min \sum_{i=1}^{N} \sum_{s \in S_i} t_{i,s} \cdot x_{i,s} \)"
"I am looking for a reliable services travel from South Region to Airport with each service reputation less than 4.3","TQoSO","12.2","['s4', 's8', 's10']","91.987","\[ \max \sum_{i=1}^{m} \sum_{j \in C_i} r_{ij} x_{ij} \]"
"I am looking for a trip with minmum cost  travel from South Region to Airport while  each service reputation should be <=4.2","TCO","17.0","['s2', 's8', 's10']","73.369","\( \min \sum_{t \in T} \sum_{s \in S_t} c_{t,s} x_{t,s} \)"
"I am looking for a reliable services travel from South Region to Airport with the minimum travel cost and travel time and each service reputation greater than 3.3.","MOO","62.0","['s0', 's8', 's10']","127.536","\[
\min \left( \sum_{i \in \mathcal{P}} \sum_{s \in \mathcal{S}_i} c_{i,s} \, x_{i,s}, \quad \sum_{i \in \mathcal{P}} \sum_{s \in \mathcal{S}_i} t_{i,s} \, x_{i,s} \right)
\]"
