"Request","Class","Best_Score","Best_Services","Time_s","OF"
"I need a trip from South Region to Airport with the lowest monetary cost.","TCO","9.0","['s2', 's7', 's10']","112.603","\( \min \sum_{i=1}^{n} c(t_i) \)"
"Provide the shortest-time trip from South Region to Airport.","TTO","13.0","['s0', 's8', 's11']","108.322","\(\displaystyle \min \sum_{(i,j) \in \mathcal{A}} t_{ij}\)"
"I need a trip from South Region to Airport with the minimum  time.","TTO","13.0","['s0', 's8', 's11']","98.248","\( \min \sum_{(i,j) \in \mathcal{A}} \sum_{k \in \mathcal{S}_{ij}} t_{ij}^{k}\,x_{ij}^{k} \)"
"I need a trip from South Region to Airport with the lowest monetary cost and shortest travel time.","MOO","61.0","['s0', 's8', 's11']","105.282","\(\min \sum_{i=1}^{n} (c_i + t_i)\)"
"I need a trip from South Region to Airport with free cost","TCO","","","88.935","\[
\sum_{t \in T} c_{t}
\]"
"Determine the minimum price route from South Region to Airport.","TCO","9.0","['s2', 's7', 's10']","178.713","\[
\min \sum_{t \in P} C(t)
\]"
"What is the quickest route from South Region to Airport?","TTO","13.0","['s0', 's8', 's11']","73.611","\( \min \sum_{i=1}^{n} T_i \)"
"Select the minimum duration trip from South Region to Airport.","TTO","13.0","['s0', 's8', 's11']","110.07","\[
\min \sum_{i} \sum_{j} t_{ij} x_{ij}
\]"
"Find the best trip from South Region to Airport minimizing both cost and time.","MOO","61.0","['s0', 's8', 's11']","201.627","\[
\min \sum_{i \in P} (c_i + t_i)
\]"
"What is the most efficient route from South Region to Airport in terms of cost and duration?","MOO","61.0","['s0', 's8', 's11']","195.458","\[
\min \sum_{i \in T} (c_i + t_i)
\]"
"Maximize service reputation for travel from South Region to Airport.","TQoSO","13.5","['s1', 's7', 's10']","186.345","\[
\max \sum_{t \in P} \sum_{s \in S_t} r_{t,s} \cdot x_{t,s}
\]"
"I need the cheapest trip from South Region to Airport with cost less than 8 dollars.","TCO","","","238.279","$\min \sum_{i \in P} c_i$"
"Minimize the travel time between South Region and Airport,  with travel time less than 12 minutes.","TTO","","","123.375","\[
\min \sum_{i=1}^{k} t_i
\]"
"I need the fastest trip from South region to Airport. with constraints like travel time greater than 15 minutes and cost between 20 and 30 dollars.","TTO","","","152.207","\[
\min \sum_{i=1}^{N} \tau_i
\]"
"I need the fastest trip from South region to Airport. with constraints like travel time greater than 12 minutes and service reputation greater than 3","TTO","40.0","['s0', 's8', 's10']","158.415","\( \min \sum_{(i,j) \in P} t_{ij} \)"
"I am looking for a reliable services travel from South Region to Airport with each service reputation >=4","TQoSO","13.5","['s1', 's7', 's10']","170.365","\(\max \sum_{(i,j) \in P} r_{i,j}\)"
"Minimize the travel time between South Region and Airport,  with travel time greater than 14 minutes.","TTO","23.0","['s0', 's7', 's11']","154.026","\[
\min \sum_{i=1}^{N} t_i
\]"
"I am looking for a reliable services travel from South Region to Airport with each service reputation less than 4.3","TQoSO","12.2","['s4', 's8', 's10']","161.773","\(\displaystyle \max \sum_{i=1}^{N} R_i\)"
"I am looking for a trip with minmum cost  travel from South Region to Airport while  each service reputation should be <=4.2","TCO","17.0","['s2', 's8', 's10']","160.585","\( \min \sum_{(i,j) \in P} C_{ij} \)"
"I am looking for a reliable services travel from South Region to Airport with the minimum travel cost and travel time and each service reputation greater than 3.3.","MOO","62.0","['s0', 's8', 's10']","129.825","\[
\min \sum_{i=1}^{n} \left( \text{cost}(s_i) + \text{time}(s_i) \right)
\]"
