Request,Class_true,Best_Score_true,Best_Services_true,Class_pred,Best_Score_pred,Best_Services_pred,Time_s,OF,Absolute_Error,Relative_Error
I need a trip from South Region to Airport with the lowest monetary cost.,TCO,9.0,"['s2', 's7', 's10']",TCO,9.0,"['s2', 's7', 's10']",9.97,\( \displaystyle \min \sum_{t \in \mathcal{T}} c_t \),0.0,0.0
I need a trip from South Region to Airport with the minimum  time.,TTO,13.0,"['s0', 's8', 's11']",TTO,13.0,"['s0', 's8', 's11']",6.243,\( \displaystyle \min \sum_{i=1}^{n} t_i \),0.0,0.0
I need a trip from South Region to Airport with the minimum  time.,TTO,13.0,"['s0', 's8', 's11']",TTO,13.0,"['s0', 's8', 's11']",5.308,"\[
\displaystyle \min_{\text{path }P}\;\sum_{i\in P}\tau_i
\]",0.0,0.0
I need a trip from South Region to Airport with the lowest monetary cost and shortest travel time.,MOO,61.0,"['s0', 's8', 's11']",MOO,61.0,"['s0', 's8', 's11']",7.886,\( \min \sum_{i=1}^{N} (c_{i} + t_{i}) \),0.0,0.0
Determine the minimum price route from South Region to Airport.,TCO,9.0,"['s2', 's7', 's10']",TCO,9.0,"['s2', 's7', 's10']",5.946,\( \displaystyle \min \sum_{t\in \mathcal{T}} c_{t} \),0.0,0.0
I need a trip from South Region to Airport with the minimum  time.,TTO,13.0,"['s0', 's8', 's11']",TTO,13.0,"['s0', 's8', 's11']",6.243,\( \displaystyle \min \sum_{i=1}^{n} t_i \),0.0,0.0
I need a trip from South Region to Airport with the minimum  time.,TTO,13.0,"['s0', 's8', 's11']",TTO,13.0,"['s0', 's8', 's11']",5.308,"\[
\displaystyle \min_{\text{path }P}\;\sum_{i\in P}\tau_i
\]",0.0,0.0
What is the quickest route from South Region to Airport?,TTO,13.0,"['s0', 's8', 's11']",TTO,13.0,"['s0', 's8', 's11']",6.141,"\[
\min \; \sum_{t \in \mathcal{T}} \sum_{s \in S_t} t_{t,s}\, x_{t,s}
\]",0.0,0.0
Select the minimum duration trip from South Region to Airport.,TTO,13.0,"['s0', 's8', 's11']",TTO,13.0,"['s0', 's8', 's11']",7.974,"\[
\min_{\pi}\;\sum_{(r,r')\in \pi}t(r,r')
\]",0.0,0.0
Find the best trip from South Region to Airport minimizing both cost and time.,MOO,61.0,"['s1', 's8', 's11']",MOO,61.0,"['s1', 's8', 's11']",5.432,\(J = \displaystyle\sum_{i\in \mathcal{I}} (c_i + t_i)\),0.0,0.0
What is the most efficient route from South Region to Airport in terms of cost and duration?,MOO,61.0,"['s0', 's8', 's11']",MOO,61.0,"['s0', 's8', 's11']",6.689,"\[
\min \;\sum_{k=1}^{n}\!\bigl(c_{k}+t_{k}\bigr)
\]",0.0,0.0
Maximize service reputation for travel from South Region to Airport.,TQoSO,13.5,"['s1', 's7', 's10']",TQoSO,13.5,"['s1', 's7', 's10']",7.547,"\[
\max \sum_{t\in T}\max_{j\in J_t}\, r_{t,j}
\]",0.0,0.0
I need the fastest trip from South region to Airport. with constraints like travel time greater than 15 minutes and cost between 20 and 30 dollars.,TTO,40.0,"['s0', 's8', 's10']",TTO,40.0,"['s0', 's8', 's10']",12.719,"\[
\min \sum_{\tau \in P}\, t_{\tau}
\]",0.0,0.0
I need the fastest trip from South region to Airport. with constraints like travel time greater than 12 minutes and service reputation greater than 3,TTO,40.0,"['s0', 's8', 's10']",TTO,40.0,"['s0', 's8', 's10']",14.828,"\( \displaystyle \min_{s_1,\dots,s_T}\;\sum_{t=1}^{T}\text{time}(s_t) \)",0.0,0.0
I am looking for a reliable services travel from South Region to Airport with each service reputation >=4,TQoSO,13.5,"['s1', 's7', 's10']",TQoSO,13.5,"['s1', 's7', 's10']",10.645,"\[
\max \sum_{i=1}^{N-1} r_{i}
\]",0.0,0.0
"Minimize the travel time between South Region and Airport,  with travel time greater than 14 minutes.",TTO,23.0,"['s0', 's7', 's11']",TTO,23.0,"['s0', 's7', 's11']",13.673,"\[
\min \sum_{t=1}^{|T|} \min_{s\in S_t}\! \text{time}(s)
\]",0.0,0.0
I am looking for a reliable services travel from South Region to Airport with each service reputation less than 4.3,TQoSO,12.2,"['s4', 's8', 's10']",TQoSO,12.2,"['s4', 's8', 's10']",8.748,"\[
\max \sum_{t \in T}\sum_{s \in S(t)} r_{t,s}\,x_{t,s}
\]",0.0,0.0
I am looking for a trip with minmum cost  travel from South Region to Airport while  each service reputation should be <=4.2,TCO,17.0,"['s2', 's8', 's10']",TCO,17.0,"['s2', 's8', 's10']",6.949,"\[
\min \;\sum_{i=1}^{N-1} c_i
\]",0.0,0.0
I am looking for a reliable services travel from South Region to Airport with the minimum travel cost and travel time and each service reputation greater than 3.3.,MOO,62.0,"['s1', 's8', 's10']",MOO,62.0,"['s1', 's8', 's10']",5.779,\(\displaystyle \min \sum_{e\in\mathcal{P}}\bigl(c_{e}+t_{e}\bigr)\),0.0,0.0
